PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,RelSpeed,SpinRate,SpinAxis,RelHeight,RelSide,Extension,InducedVertBreak,HorzBreak,VertApprAngle,HorzApprAngle,PlateLocHeight,PlateLocSide,ExitSpeed,Angle,Direction,Distance,Level,GameID,PitchUID,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence
341,9/13/2025,53:39.6,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Cutter,Undefined,Undefined,Undefined,Undefined,83.65649,2182.026713,195.885347,6.937,1.5418,5.80205,17.79678,4.68205,-8.132432,-1.962565,1.39944,-0.67495,,,,,TeamExclusive,20250913-UofSanDiego-Private-2,f6972d80-90d2-11f0-b482-5d1185df5079,High,High,High
342,9/13/2025,53:51.5,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,82.99445,2241.923238,210.889573,6.80866,2.23163,5.0845,19.07804,10.51426,-5.557536,-0.742525,3.727,0.656,,,,,TeamExclusive,20250913-UofSanDiego-Private-2,fdbe3b80-90d2-11f0-b482-5d1185df5079,High,High,High
343,9/13/2025,54:18.4,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,87.51753,2253.90886,204.134178,6.70587,1.65847,6.14323,20.96903,8.81575,-6.157151,-0.344377,2.4927,0.60582,,,,,TeamExclusive,20250913-UofSanDiego-Private-2,0db832c0-90d3-11f0-b482-5d1185df5079,High,High,High
344,9/13/2025,54:30.4,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,87.29123,2194.309596,206.802399,6.62,1.71136,5.82724,21.50745,10.21146,-6.325516,0.372787,2.21558,1.2071,,,,,TeamExclusive,20250913-UofSanDiego-Private-2,14e3ad90-90d3-11f0-b482-5d1185df5079,High,High,High
345,9/13/2025,54:42.0,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,72.70501,2107.810987,33.060654,6.33719,1.87669,5.04103,-8.67914,-6.82418,-12.108391,-3.38836,0.36971,-0.74813,,,,,TeamExclusive,20250913-UofSanDiego-Private-2,1bd72870-90d3-11f0-b482-5d1185df5079,High,High,High
346,9/13/2025,54:56.9,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,72.07316,2104.57792,32.770778,6.58186,1.81948,4.88845,-9.92693,-7.56874,-11.112532,-3.037766,1.77474,-0.4209,80.18606,-22.574782,-17.38987,6.98313,TeamExclusive,20250913-UofSanDiego-Private-2,24b471f0-90d3-11f0-b482-5d1185df5079,High,High,High
347,9/13/2025,55:24.7,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,72.27624,2112.178001,53.135172,6.50623,1.97349,4.77843,-5.37717,-9.51438,-10.854643,-3.988802,1.49809,-1.01387,,,,,TeamExclusive,20250913-UofSanDiego-Private-2,354af750-90d3-11f0-b482-5d1185df5079,High,High,High
348,9/13/2025,55:35.8,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,87.8582,2274.746741,204.322308,6.73151,1.44411,6.13136,20.86879,8.89374,-4.297566,-2.162949,4.20506,-1.29607,,,,,TeamExclusive,20250913-UofSanDiego-Private-2,3bbe93d0-90d3-11f0-b482-5d1185df5079,High,High,High
349,9/13/2025,55:49.4,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,86.03995,2220.880106,194.685403,7.12391,1.18969,5.69357,23.74249,5.85756,-7.032229,1.757981,1.98173,2.3403,,,,,TeamExclusive,20250913-UofSanDiego-Private-2,43f9d0f0-90d3-11f0-b482-5d1185df5079,High,High,High
350,9/13/2025,56:08.2,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,86.33339,2208.62029,204.995976,6.73277,1.46013,5.98172,21.10336,9.25044,-4.763231,0.247148,3.87772,0.91868,,,,,TeamExclusive,20250913-UofSanDiego-Private-2,4f0e93e0-90d3-11f0-b482-5d1185df5079,High,High,High
