player_id,full_name,from_school,position,class_year,division,hometown_city,hometown_state,high_school,height_in,weight_lb,ca_tie,socal_tie,sd_tie,ca_tie_reasons,has_evaluation,has_hitting,has_pitching,has_arsenal,bio_evidence_rows,bio_evidence_files,latest_event_source,latest_event_date,latest_event_url,gaps
4299,TRISTAN RUSSELL,New Mexico,2B,SO,I,Cypress,TX,,72,195,0,0,0,,0,0,0,0,1,1,d1baseball,2026-05-29,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34732,Vince Ferrell,Bryant,OF,FR,I,Clearwater,FL,Osceola,71,185,0,0,0,,0,0,0,0,1,1,d1baseball,2026-05-26,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34656,Will Orberson,Old Dominion,P,SO,I,Lexington,KY,IMG Academy,74,210,0,0,0,,0,0,0,0,1,1,d1baseball,2026-05-29,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34566,Abe Maurer,Gardner-Webb,C,FR,I,North Fond du Lac,WI,Horace Mann HS,70,210,0,0,0,,0,0,0,0,2,2,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34758,Adam Wade,Arkansas State,P,JR,I,Missouri City,TX,,80,260,0,0,0,,0,0,0,0,2,2,d1baseball,2026-05-20,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34625,Aidan Autovino,Mount St. Mary's,OF,FR,I,Collegeville,PA,Perkiomen Valley,76,200,0,0,0,,0,0,0,0,2,2,d1baseball,2026-05-30,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34834,Aidan Crochier,Lafayette,DH,FR,I,Pittsburgh,PA,Upper St. Clair,76,215,0,0,0,,0,0,0,0,2,2,d1baseball,2025-12-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34744,Aidan Driscoll,Maryland,DH,SO,I,North Reading,MA,St. John's Prep,68,190,0,0,0,,0,0,0,0,2,2,d1baseball,2026-05-22,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34575,Aidan Savona,Queens (NC),P,FR,I,Nashville,TN,University School of Nashville,76,225,0,0,0,,0,0,0,0,2,2,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34779,Antonio Ducatelli,Central Connecticut,LF,SO,I,Levittown,NY,Island Trees,73,200,0,0,0,,0,0,0,0,2,2,d1baseball,2026-05-19,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34729,Ashton Graff-Rowe,Utah,SS,JR,I,Waterloo,Ont.,Laurel Heights Secondary School,72,190,0,0,0,,0,0,0,0,2,2,d1baseball,2026-05-26,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34540,Austin Castillo,Long Beach State,P,SO,I,Riverside,CA,Martin Luther King HS,70,180,1,1,0,hometown=CA;hometown=Riverside (SoCal);prev_school=CA,0,0,0,0,2,2,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34722,Austin Ellis,Northwestern State,C,SO,I,Saratoga Springs,UT,Mountain Ridge HS,70,220,0,0,0,,0,0,0,0,2,2,d1baseball,2026-05-26,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34567,Ayden Benson,Wichita State,P,JR,I,Rogers,AR,Shiloh Christian HS,75,210,0,0,0,,0,0,0,0,2,2,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34579,Ayden Munoz,Fresno State,OF,FR,I,Carlsbad,CA,Carlsbad HS,69,175,1,1,1,hometown=CA;hometown=Carlsbad (SD County);prev_school=CA,0,0,0,0,2,2,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
4379,BRADLEY FERRELL,Georgia Southern,P,SO,I,La Porte,IN,South Central Jr./Sr HS,75,200,0,0,0,,0,0,0,0,2,2,d1baseball,2026-05-29,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34561,Blaise Czyz,Cal State Northridge,P,FR,I,Reno,NV,Bishop Manogue Catholic HS,72,175,0,0,0,,0,0,0,0,2,2,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34619,Blake Ilitch,Ole Miss,P,FR,I,Detroit,MI,Brother Rice,76,220,0,0,0,,0,0,0,0,2,2,d1baseball,2026-05-31,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34723,Blake McElyea,James Madison,P,FR,I,Lenoir,NC,Jimmy C. Draughn,80,210,0,0,0,,0,0,0,0,2,2,d1baseball,2026-05-26,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34526,Blake Sebastian,Nebraska,P,FR,I,Leawood,KS,,77,225,0,0,0,,0,0,0,0,2,2,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34680,Braden Rosenthal,Samford,1B,FR,I,West Palm Beach,FL,,75,210,0,0,0,,0,0,0,0,2,2,d1baseball,2026-05-28,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34603,Brady Laubscher,Saint Mary's (CA),P,FR,I,Petaluma,CA,Casa Grande HS,75,,1,0,0,hometown=CA,0,0,0,0,2,2,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_weight;
34857,Brayden Gum,University of Indianapolis,P,SO,,Omaha,NE,Millard North,73,200,0,0,0,,0,0,0,0,2,2,d1baseball,2025-12-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34571,Brayden Keeter,New Mexico State,P,JR,I,Amarillo,TX,Tascosa HS,76,185,0,0,0,,0,0,0,0,2,2,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34589,Breck Romero,Western Illinois,C,JR,I,Montgomery,TX,Tomball HS,70,,0,0,0,,0,0,0,0,2,2,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_weight;
34726,Brek Benedict,Northern Colorado,P,FR,I,Fort Collins,CO,Fossil Ridge HS,70,185,0,0,0,,0,0,0,0,2,2,d1baseball,2026-05-26,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34597,Brock Silvers,USF,RF,FR,I,Middleton,ID,,77,215,0,0,0,,0,0,0,0,2,2,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34646,Bronson Lange,Texas A&M-Corpus Christi,P,FR,I,Floresville,TX,La Vernia HS,78,205,0,0,0,,0,0,0,0,2,2,d1baseball,2026-05-29,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34782,Bryce Elias,Iona,LF,SR,I,Toronto,Ontario,Lawrence Park,74,200,0,0,0,,0,0,0,0,2,2,d1baseball,2026-05-19,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
4431,CARSON JOYNER,UL Monroe,P,SO,I,Fairhope,AL,Bayside Academy,72,200,0,0,0,,0,0,0,0,2,2,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34643,CJ Mascaro,TCU,OF,FR,I,Saratoga Springs,UT,American Fork H.S.,72,215,0,0,0,,0,0,0,0,2,2,d1baseball,2026-05-29,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34652,Calvin Cook,Middle Tennessee,2B,FR,I,Annapolis,MD,Broadneck,71,180,0,0,0,,0,0,0,0,2,2,d1baseball,2026-05-29,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34772,Carson Lentini,Central Connecticut,2B,FR,I,Southington,CT,Southington,72,170,0,0,0,,0,0,0,0,2,2,d1baseball,2026-05-19,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
