player_id,name,pos,class_year,div,from_school,summer_team,status,san_diego_school,ca_school,ca_summer_league
2738,ANDREW SAVAGE,C,Grad Transfer,I,Pepperdine University,,ENTERED,,Y,
2739,CAMERON CONLEY,,Grad Transfer,I,Pepperdine University,,ENTERED,,Y,
2740,BRODEY BITOVE,,,I,Pepperdine University,,ENTERED,,Y,
2741,BRADEN GUENTZ,P,,I,Pepperdine University,,ENTERED,,Y,
2742,MAXIMILLIAN MT BERNAL,,,I,Pepperdine University,,ENTERED,,Y,
2833,HUNTER JANSEN,1B/OF,,I,Pepperdine University,,ENTERED,,Y,
2896,JACOB GROSSMAN,,,I,Pepperdine University,,ENTERED,,Y,
2897,IAN HOLT,,,I,Pepperdine University,,ENTERED,,Y,
2773,XAVIER HATTENBURG,,,III,Pomona-Pitzer Colleges,,ENTERED,,Y,
2774,JACOB HILTON,LHP,Grad Transfer,III,Pomona-Pitzer Colleges,,ENTERED,,Y,
2775,SATISH RAICHUR,,,III,Pomona-Pitzer Colleges,,ENTERED,,Y,
2904,CAYDEN BONURA,P,,I,Saint Mary's College of California,,ENTERED,,Y,
2905,DYLAN LEOFF,P,,I,Saint Mary's College of California,,ENTERED,,Y,
3168,EDWARD MADRIGAL,,Grad Transfer,I,Saint Mary's College of California,,ENTERED,,Y,
3169,BRIAN DUROFF,OF,Grad Transfer,I,Saint Mary's College of California,,ENTERED,,Y,
3170,BLAKE CONRAD,C,,I,Saint Mary's College of California,,ENTERED,,Y,
3171,JUSTIN SANTIAGO,P,,I,Saint Mary's College of California,,ENTERED,,Y,
3172,JADEN MCNEELY,LHP,,I,Saint Mary's College of California,,ENTERED,,Y,
3173,ELLIOT MT JOSLIN,,,I,Saint Mary's College of California,,ENTERED,,Y,
3174,GARRET PLATA,P,Grad Transfer,I,Saint Mary's College of California,,ENTERED,,Y,
3175,BARRETT RONSON,,,I,Saint Mary's College of California,,ENTERED,,Y,
3176,ADAM ENYART,P,,I,Saint Mary's College of California,,ENTERED,,Y,
