fit,player,role,position,division,from_school,to_school,class_year,eligibility_remaining,height_in,weight_lb,status,ca_tie,sd_tie,socal_tie,hometown_city,hometown_state,high_school,ca_tie_reasons,hit,power,need,perf_pct,level_factor,likelihood,team,pa,ba,obp,slg,xwoba,xslg,avg_ev,decision_value,hr,ip,fip,k_bb,perceived_value,t2_stuff,inzone_whiff_pct,xwhiff_pct,priority,contact,scout_notes
65.3,Mikey Cruz Jr.,hitter,DH,,Nevada,,SR,1,75.0,240.0,ENTERED,0,0,0,Reno,NV,Reno HS,,64.4,53.5,,0.75,0.7,15.5,Nevada,,0.359,,,0.396,,90.1,,,,,,,,,,,,
65.2,Joe O Regan,pitcher,P,I,CSU Bakersfield,,JR,1,76.0,227.0,ENTERED,1,0,1,Rancho Cucamonga,CA,,hometown=CA;hometown=Rancho Cucamonga (SoCal);prev_school=CA,,,Weekend starter,0.662,0.72,36.1,CSU Bakersfield,,,,,,,,,,64.0,2.38,2.67,89.0,92.0,,,,,
65.1,Mason Butash,pitcher,P,I,Penn State,,JR,1,74.0,195.0,ENTERED,0,0,0,Chantilly,VA,Freedom,,,,Weekend starter,0.696,1.0,17.1,Penn State,,,,,,,,,,36.1,5.71,1.43,88.7,102.9,,,,,
65.1,COOPER SMITH,pitcher,INF,I,Oklahoma,,JR,1,73.0,205.0,ENTERED,0,0,0,Coeur D Alene,ID,Lake City HS,,,,,0.616,0.8,19.5,Utah Tech,,0.224,,,0.434,,86.5,,,83.2,3.23,3.1,109.1,96.2,,,,,Unnamed: 19: Baseball | Unnamed: 21: Atlantic Sun Conference | Unnamed: 22: Active
65.0,Diego Menjivar,pitcher,P,I,Bradley,,SR,1,,,ENTERED,1,0,0,Benicia,CA,Benicia High School,hometown=CA,,,Weekend starter,0.755,0.72,25.3,Bradley,,,,,,,,,,35.2,3.82,2.32,99.0,122.0,,,,,
65.0,Carlos Lugo,hitter,LF,,Campbell,,FR,3,69.0,185.0,ENTERED,0,0,0,Fort Lauderdale,FL,Calvary Christian Academy,,67.1,58.4,,0.776,0.7,15.4,Campbell,,0.344,,,0.442,,89.4,,,,,,118.0,106.0,,,,,
64.9,Tyler Davis,pitcher,P,I,USC Upstate,,JR,1,74.0,200.0,ENTERED,1,0,0,Peoria,AZ,Sunrise High School,prev_school=CA,,,Weekend starter,0.993,1.0,20.1,Fresno State,,0.276,,,0.322,,86.2,,,23.2,5.21,1.94,124.1,124.2,,,,,
64.7,JACKSON LOGAR,pitcher,P,I,Mississippi State,,JR,1,72.0,215.0,ENTERED,0,0,0,Medford,NJ,Shawnee,,,,Weekend starter,0.605,1.0,19.8,James Madison,,,,,,,,,,74.0,4.64,1.76,97.6,95.7,,,,,
64.7,LANDON GRIGG,pitcher,P,I,Lamar,,SR,1,73.0,180.0,ENTERED,0,0,0,Bentonville,AR,Bentonville West HS,,,,Weekend starter,0.691,1.0,20.5,UL Monroe,,,,,,,,,,57.1,3.96,2.45,102.5,101.4,,,3.0,,
64.7,Dimond Loosli,pitcher,P,I,Penn State,,SR,1,73.0,185.0,ENTERED,1,0,0,Walnut Creek,CA,Las Lomas,hometown=CA,,,Weekend starter,0.753,1.0,25.4,Penn State,,,,,,,,,,33.0,4.0,2.31,120.2,119.9,,,,,
