Team,Player,Pitch Type,Pitches,BBE,EV,EV 90,Max EV,HH%,LA,HH LA,SwSpot%,Barrel%,Barrels,BA,xBA,wOBA,xwOBA,GB%,FB%,LD%,Swing%,Z-Swing%,Z-Contact%,Chase%,Whiff%,SD+
Austin Peay,Ty Wisdom,All,783,133,84.6,101.7,104.4,27.8%,14.5°,16.3°,36.1,5.3%,7,0.304,.266,0.434,.380,37.6%,27.1%,27.8%,42.5%,69.9%,83.6%,23.4%,19.2%,122.0
Oregon,Naulivou Lauaki,All,490,66,98.2,112.9,118.0,71.2%,7.6°,13.8°,31.8,27.3%,18,0.316,.285,0.434,.421,50.0%,30.3%,16.7%,53.3%,73.6%,66.5%,35.1%,41.0%,39.0
Miami (OH),Marcus Dierks,All,854,119,79.4,96.7,100.6,16.8%,4.3°,0.3°,22.7,0.0%,0,0.389,.212,0.434,.334,53.8%,26.1%,17.6%,35.9%,53.0%,91.0%,20.9%,15.0%,89.0
Troy,Aaron Piasecki,All,1121,216,88.1,101.2,107.0,34.3%,14.2°,11.2°,38.4,2.3%,5,0.34,.324,0.434,.419,35.2%,31.0%,30.6%,34.1%,52.3%,94.1%,18.3%,8.1%,97.0
Minnesota,Jack Spanier,All,728,121,86.7,100.7,104.2,28.1%,15.8°,9.4°,38.0,0.8%,1,0.307,.263,0.434,.374,35.5%,29.8%,26.4%,30.4%,51.6%,95.8%,13.7%,9.5%,127.0
TCU,Chase Brunson,All,932,130,91.7,108.3,111.6,49.2%,14.4°,15.0°,35.4,13.8%,18,0.304,.303,0.434,.465,38.5%,31.5%,23.8%,36.9%,54.9%,88.8%,22.9%,21.2%,96.0
Northern Illinois,Marcus Romero,All,500,90,91.3,108.7,112.3,51.1%,3.6°,6.1°,31.1,3.3%,3,0.373,.302,0.434,.396,52.2%,18.9%,24.4%,45.6%,72.2%,87.2%,25.4%,24.1%,114.0
Kansas,Tyson Owens,All,770,113,92.5,107.2,112.3,53.1%,6.1°,15.6°,37.2,13.3%,15,0.305,.306,0.434,.449,44.2%,23.9%,25.7%,38.3%,61.2%,77.7%,19.8%,28.5%,118.0
UL Monroe,Davis Mauzy,All,880,144,86.4,101.9,107.2,27.8%,9.6°,7.9°,30.6,1.4%,2,0.367,.300,0.434,.363,43.8%,20.1%,27.1%,37.4%,60.8%,91.2%,16.8%,15.2%,109.0
Texas State,Manuel Salas,All,983,152,91.4,107.2,110.8,52.0%,7.2°,12.8°,32.9,10.5%,16,0.306,.300,0.434,.415,50.7%,17.1%,25.0%,49.5%,73.6%,76.8%,33.9%,32.4%,88.0
Delaware State,Caleb King,All,56,12,80.1,93.6,95.0,8.3%,-0.5°,33.7°,25.0,0.0%,0,0.357,.231,0.434,.271,58.3%,8.3%,25.0%,42.9%,72.0%,72.2%,19.4%,29.2%,134.0
North Carolina A&T,Luis Gomez,All,117,26,87.0,103.6,106.5,34.6%,10.0°,1.8°,38.5,3.8%,1,0.355,.353,0.434,.426,38.5%,26.9%,30.8%,41.9%,72.9%,91.4%,20.3%,20.4%,115.0
Jacksonville State,Samuel Richardson,All,255,40,93.9,107.6,111.9,60.0%,11.9°,18.8°,42.5,22.5%,9,0.267,.311,0.433,.478,30.0%,25.0%,37.5%,51.0%,78.4%,78.8%,32.7%,35.4%,58.0
Prairie View,Corie Lockette,All,118,14,91.0,101.7,104.4,35.7%,6.1°,4.4°,57.1,0.0%,0,0.348,.179,0.433,.334,28.6%,7.1%,50.0%,50.0%,74.5%,82.9%,33.8%,30.5%,59.0
Central Michigan,Cole Prout,All,550,92,92.5,104.6,108.3,47.8%,11.1°,15.4°,40.2,8.7%,8,0.331,.316,0.433,.440,37.0%,19.6%,34.8%,42.0%,70.4%,85.4%,19.5%,22.5%,119.0
Missouri State,Brant Kragel,All,417,56,92.4,105.6,107.3,57.1%,16.8°,20.0°,37.5,16.1%,9,0.294,.288,0.433,.457,32.1%,42.9%,21.4%,46.3%,75.1%,75.9%,21.4%,32.1%,99.0
UNC Asheville,Owen Michelson,All,298,44,86.9,100.8,103.4,40.9%,1.0°,10.0°,40.9,2.3%,1,0.304,.324,0.433,.430,47.7%,13.6%,34.1%,36.6%,55.8%,86.1%,21.9%,16.5%,106.0
Tennessee,Reese Chapman,All,861,154,89.3,105.6,110.9,48.1%,7.2°,16.2°,41.6,11.7%,18,0.315,.312,0.433,.454,44.8%,24.0%,27.3%,46.7%,73.4%,85.6%,25.7%,25.1%,101.0
Nevada,Jayce Dobie,All,838,161,91.5,104.7,108.3,46.0%,13.5°,12.5°,42.2,6.8%,11,0.358,.337,0.433,.428,36.0%,23.0%,34.8%,38.2%,60.7%,88.3%,18.2%,18.8%,100.0
West Virginia,Paul Schoenfeld,All,920,163,88.1,102.5,107.0,38.7%,10.5°,14.2°,45.4,1.2%,2,0.351,.346,0.433,.442,36.8%,22.1%,37.4%,41.4%,65.1%,87.6%,21.4%,18.4%,109.0
Newberry,Nicholas Foster,All,67,7,87.8,98.0,99.0,28.6%,18.4°,8.9°,42.9,0.0%,0,0.385,.249,0.433,.346,42.9%,14.3%,42.9%,49.3%,73.3%,72.7%,29.7%,33.3%,114.0
UTSA,Diego Diaz,All,742,108,87.3,104.1,109.5,26.9%,10.1°,12.0°,37.0,2.8%,3,0.297,.234,0.433,.363,41.7%,29.6%,25.0%,36.4%,60.8%,84.8%,13.8%,19.6%,117.0
Pacific,Braeden Schnabel,All,481,95,91.5,106.0,107.9,51.6%,10.5°,14.7°,42.1,8.4%,8,0.361,.339,0.432,.438,38.9%,27.4%,33.7%,46.8%,69.6%,79.2%,28.5%,29.3%,104.0
McNeese,Isaiah Keller,All,92,14,97.4,107.4,108.0,71.4%,13.8°,11.1°,57.1,21.4%,3,0.261,.292,0.432,.444,28.6%,28.6%,42.9%,54.3%,81.6%,51.6%,35.2%,50.0%,104.0
Stanford,Eric Jeon,All,748,135,88.9,106.5,108.7,40.0%,14.7°,9.8°,33.3,8.1%,11,0.327,.311,0.432,.422,40.7%,29.6%,24.4%,42.6%,68.7%,86.8%,21.9%,20.4%,108.0
