Team,Player,Pitch Type,Pitches,BBE,EV,EV 90,Max EV,HH%,LA,HH LA,SwSpot%,Barrel%,Barrels,BA,xBA,wOBA,xwOBA,GB%,FB%,LD%,Swing%,Z-Swing%,Z-Contact%,Chase%,Whiff%,SD+
Georgetown,Michael Eze,All,240,32,90.2,105.5,109.1,34.4%,16.6°,12.8°,43.8,3.1%,1,0.34,.275,0.462,.369,25.0%,28.1%,31.2%,41.2%,60.8%,85.5%,26.8%,25.3%,77.0
Incarnate Word,Ryan Scott,All,211,24,94.5,106.2,108.2,41.7%,10.0°,13.6°,37.5,12.5%,3,0.378,.226,0.462,.399,29.2%,12.5%,29.2%,36.5%,70.1%,79.6%,17.2%,40.3%,133.0
Penn State,Bryce Molinaro,All,616,99,94.3,107.6,112.6,56.6%,14.7°,15.3°,49.5,19.2%,19,0.346,.348,0.462,.501,29.3%,32.3%,31.3%,39.3%,63.8%,85.4%,20.4%,28.5%,112.0
Rutgers,Scott Young,All,112,20,85.4,96.0,102.5,15.0%,-0.5°,-2.2°,5.0,0.0%,0,0.364,.134,0.461,.468,40.0%,0.0%,5.0%,42.9%,86.1%,87.1%,22.4%,12.5%,130.0
Centenary (LA),Carson Livesay,All,160,29,89.8,101.3,102.3,31.0%,14.3°,10.8°,41.4,0.0%,0,0.333,.286,0.461,.421,24.1%,20.7%,31.0%,41.2%,79.1%,81.1%,14.0%,19.7%,153.0
Florida,Ashton Wilson,All,83,12,85.9,103.3,104.9,41.7%,20.7°,11.5°,50.0,0.0%,0,0.412,.306,0.461,.377,25.0%,16.7%,50.0%,39.8%,60.5%,91.3%,22.2%,18.2%,89.0
North Dakota State,Garret Hill,All,119,17,85.8,104.6,105.8,35.3%,4.7°,6.1°,29.4,11.8%,2,0.286,.319,0.461,.452,47.1%,17.6%,17.6%,33.6%,54.4%,83.9%,14.5%,20.0%,104.0
West Virginia,JJ Wetherholt,All,390,75,95.7,108.3,110.9,53.3%,13.8°,15.4°,24.0,12.0%,9,0.346,.354,0.461,.493,45.3%,17.3%,18.7%,36.2%,70.0%,89.3%,12.6%,14.2%,159.0
Gonzaga,Max Coupe,All,277,41,92.5,103.1,105.2,51.2%,12.1°,9.9°,36.6,7.3%,3,0.375,.271,0.461,.356,36.6%,19.5%,26.8%,52.7%,79.5%,79.8%,34.5%,33.6%,69.0
Abilene Christian,Benjamin Greer,All,385,52,88.2,102.8,106.4,40.4%,12.2°,9.9°,34.6,3.8%,2,0.38,.279,0.461,.387,44.2%,15.4%,28.8%,38.4%,69.0%,84.7%,14.0%,23.6%,138.0
