Team,Player,Pitch Type,Pitches,BBE,EV,EV 90,Max EV,HH%,LA,HH LA,SwSpot%,Barrel%,Barrels,BA,xBA,wOBA,xwOBA,GB%,FB%,LD%,Swing%,Z-Swing%,Z-Contact%,Chase%,Whiff%,SD+
Seton Hall,Aiden Robbins,All,125,19,93.2,107.5,109.5,47.4%,9.1°,7.7°,36.8,15.8%,3,0.318,0.357,0.439,0.525,52.6%,21.1%,26.3%,35.2%,76.7%,81.8%,13.4%,22.7%,161
Toledo,Josh Cote,All,44,6,97.6,105.2,106.0,50.0%,25.4°,26.9°,33.3,16.7%,1,0.222,0.273,0.439,0.484,16.7%,66.7%,16.7%,36.4%,63.6%,78.6%,9.1%,25.0%,119
South Carolina,Will Tippett,All,47,7,90.8,104.3,108.5,28.6%,34.9°,19.6°,28.6,14.3%,1,0.222,0.233,0.439,0.415,14.3%,57.1%,14.3%,36.2%,68.4%,84.6%,14.3%,35.3%,124
Kansas State,Shintaro Inoue,All,187,34,90.0,104.8,108.1,41.2%,15.0°,13.2°,26.5,5.9%,2,0.364,0.237,0.438,0.329,44.1%,29.4%,8.8%,41.7%,52.0%,79.2%,29.4%,30.8%,45
Michigan State,Ryan McKay,All,249,42,88.2,99.9,101.3,35.7%,14.0°,12.8°,57.1,0.0%,0,0.38,0.402,0.438,0.459,28.6%,19.0%,52.4%,38.2%,55.5%,93.9%,22.3%,9.5%,95
Stanford,Luke Lavin,All,73,15,89.5,100.8,101.4,46.7%,16.8°,27.5°,33.3,13.3%,2,0.294,0.307,0.438,0.465,33.3%,46.7%,13.3%,39.7%,54.5%,83.3%,27.5%,24.1%,85
Southern Indiana,Kannon Coakley,All,158,24,90.9,102.2,103.7,29.2%,12.0°,7.5°,37.5,0.0%,0,0.367,0.319,0.438,0.404,37.5%,16.7%,37.5%,43.7%,77.8%,81.6%,21.1%,26.1%,138
BYU,Tate Gambill,All,112,19,82.6,98.1,99.2,26.3%,8.9°,11.7°,26.3,0.0%,0,0.36,0.252,0.437,0.316,57.9%,26.3%,15.8%,37.5%,54.8%,88.2%,16.0%,16.7%,111
Georgetown,Kavi Caster,All,74,13,86.3,99.2,104.4,38.5%,21.5°,17.0°,30.8,7.7%,1,0.389,0.22,0.437,0.298,38.5%,46.2%,15.4%,54.1%,73.5%,60.0%,37.5%,40.0%,43
BYU,Keoni Painter,All,86,7,89.3,98.1,101.2,14.3%,14.8°,12.2°,71.4,0.0%,0,0.385,0.334,0.437,0.422,28.6%,14.3%,57.1%,23.3%,44.4%,81.2%,8.0%,30.0%,109
Holy Cross,Gianni Royer,All,136,28,90.4,102.8,104.5,42.9%,16.3°,18.1°,42.9,3.6%,1,0.364,0.361,0.437,0.437,39.3%,35.7%,25.0%,46.3%,72.9%,82.4%,18.2%,23.8%,125
Limestone,Jermie Greene Jr.,All,36,11,85.3,96.3,96.9,27.3%,13.2°,-0.7°,9.1,0.0%,0,0.364,0.256,0.437,0.369,54.5%,36.4%,0.0%,38.9%,72.7%,100.0%,24.0%,0.0%,164
Dallas Baptist,Nathan Humphreys,All,320,44,89.8,101.6,110.3,45.5%,10.3°,14.2°,40.9,4.5%,2,0.355,0.251,0.437,0.353,38.6%,29.5%,29.5%,36.9%,56.7%,86.1%,23.8%,24.6%,80
VCU,Jacob Lee,All,220,27,92.0,105.5,106.3,59.3%,30.3°,24.5°,37.0,14.8%,4,0.268,0.24,0.437,0.399,14.8%,51.9%,25.9%,47.7%,77.0%,82.1%,28.6%,31.4%,105
